,player,team,pos,mins,mins/st,price,G,xG,xG90,xGOT,xGOT90,Finish_qual,A,xA,xA90,xA_FPL,xA_FPL90,GI,GI90,xGI,xGI_fit,Pts,xPts,xPts_fit,xCS,xPts_full,basBPS90,BigChCr,BigChCr90,BigChMiss,SoT,SoT90,Shots,KeyP,KP90,defcon,defcon90,PensWon,rating,fpl_id,etype
80,Oscar Bobb,Fulham,MID,277,68.0,5.5,0,0.32,0.1,0.15,0.05,-0.17,0,1.06,0.34,0.97,0.32,0.0,0.0,1.37,1.29,10.0,14.8,14.5,0.66,13.2,15.3,1,0.32,0,1,0.32,3,8,2.6,22,7.25,0,6.85,264.0,3.0
81,Mohamed Belloumi,Hull City,MID,315,78.0,5.0,2,0.36,0.1,0.71,0.2,0.35,1,0.12,0.03,0.47,0.13,3.0,0.86,0.49,0.84,27.0,16.2,17.3,0.98,15.3,12.6,1,0.29,0,3,0.86,8,3,0.86,33,9.52,0,7.25,286.0,3.0
82,Tyrique George,Everton,MID,301,74.0,5.5,1,0.31,0.09,0.53,0.16,0.22,0,0.3,0.09,0.7,0.21,1.0,0.3,0.63,1.02,18.0,15.5,16.7,1.26,16.0,16.4,1,0.3,0,2,0.6,9,7,2.09,16,4.83,0,7.2,242.0,3.0
83,Jaidon Anthony,Brentford,MID,189,60.0,5.9,0,0.19,0.09,0.0,0.0,-0.19,0,0.52,0.25,0.42,0.2,0.0,0.0,0.71,0.61,5.0,7.5,7.2,0.41,6.6,13.3,0,0.0,0,0,0.0,4,6,2.86,24,11.55,0,6.7,105.0,3.0
84,Iliman Ndiaye,Man City,MID,312,89.0,5.9,0,0.28,0.08,0.6,0.17,0.32,1,0.44,0.13,0.65,0.19,1.0,0.29,0.72,0.93,17.0,16.7,17.4,0.25,15.6,20.2,1,0.29,0,3,0.87,5,5,1.44,40,11.58,0,7.05,237.0,3.0
85,Kobbie Mainoo,Man Utd,MID,277,84.0,5.5,0,0.24,0.08,0.0,0.0,-0.24,1,0.43,0.14,0.35,0.11,1.0,0.32,0.66,0.59,18.0,17.5,17.2,0.82,18.0,24.0,0,0.0,0,0,0.0,5,5,1.62,44,14.4,0,7.38,432.0,3.0
86,Georginio Rutter,Brighton,FWD,90,90.0,5.4,0,0.08,0.08,0.0,0.0,-0.08,1,0.44,0.44,0.47,0.47,1.0,1.0,0.52,0.55,5.0,3.6,3.7,0.75,3.7,13.0,1,1.0,0,0,0.0,2,1,1.0,7,7.0,0,7.6,125.0,4.0
87,Mathys Tel,Spurs,MID,259,77.0,5.8,0,0.2,0.07,0.29,0.1,0.09,0,0.23,0.08,0.2,0.07,0.0,0.0,0.44,0.41,8.0,9.7,9.6,0.91,9.5,14.2,0,0.0,0,1,0.35,6,3,1.04,13,4.55,0,6.38,514.0,3.0
88,Ibrahim Sangaré,Nott'm Forest,MID,98,90.0,4.9,0,0.08,0.07,0.0,0.0,-0.08,0,0.01,0.01,0.05,0.05,0.0,0.0,0.11,0.14,3.0,3.5,3.6,0.63,4.2,11.0,0,0.0,0,0,0.0,2,1,0.92,8,7.35,0,6.7,488.0,3.0
89,Harvey Barnes,Newcastle,MID,269,90.0,6.0,1,0.22,0.07,0.83,0.28,0.61,0,0.06,0.02,0.11,0.04,2.0,0.67,0.28,0.33,17.0,10.3,10.4,0.63,10.0,10.4,0,0.0,0,1,0.33,4,2,0.67,18,6.0,0,6.9,453.0,3.0
90,Sávio,Spurs,MID,151,75.0,6.5,0,0.12,0.07,0.0,0.0,-0.12,0,0.53,0.32,0.68,0.41,0.0,0.0,0.65,0.8,6.0,8.2,8.6,0.73,7.3,22.1,1,0.6,0,0,0.0,3,5,2.98,6,3.6,0,7.2,403.0,3.0
91,Quinten Timber,Crystal Palace,MID,164,82.0,5.0,0,0.12,0.07,0.06,0.03,-0.06,0,0.04,0.02,0.01,0.01,0.0,0.0,0.15,0.13,6.0,6.7,6.6,0.23,6.8,17.6,0,0.0,0,1,0.55,3,0,0.0,22,12.15,0,7.2,644.0,3.0
92,Christos Tzolis,Arsenal,MID,292,72.0,6.4,0,0.19,0.06,0.04,0.01,-0.15,1,0.48,0.15,0.8,0.25,2.0,0.62,0.67,0.99,14.0,10.4,11.4,1.66,11.1,16.6,1,0.31,0,2,0.62,4,8,2.47,20,6.21,0,7.03,557.0,3.0
93,Mikkel Damsgaard,Brentford,MID,199,76.0,5.5,0,0.12,0.05,0.06,0.03,-0.06,0,0.45,0.2,0.7,0.32,1.0,0.45,0.58,0.83,13.0,12.0,12.8,0.41,12.2,22.6,1,0.45,0,1,0.45,3,6,2.71,21,9.59,0,7.18,96.0,3.0
94,Mateus Fernandes,Spurs,MID,211,76.0,5.8,0,0.12,0.05,0.03,0.01,-0.09,0,0.26,0.11,0.89,0.38,0.0,0.0,0.38,1.01,6.0,7.4,9.3,0.82,9.1,20.5,2,0.85,0,1,0.43,4,5,2.13,14,6.18,0,6.8,525.0,3.0
95,Ryan Gravenberch,Liverpool,MID,183,68.0,5.9,0,0.11,0.05,0.0,0.0,-0.11,1,0.07,0.03,0.15,0.07,1.0,0.49,0.17,0.25,8.0,5.7,6.0,0.7,6.7,19.2,0,0.0,0,0,0.0,3,3,1.48,24,11.93,0,6.78,371.0,3.0
96,Dango Ouattara,Brentford,MID,171,56.0,6.4,0,0.09,0.05,0.0,0.0,-0.09,0,0.39,0.21,0.64,0.34,0.0,0.0,0.48,0.73,6.0,7.6,8.4,0.57,8.0,16.8,1,0.53,0,0,0.0,4,5,2.63,28,14.82,0,6.73,95.0,3.0
97,Myles Lewis-Skelly,Arsenal,MID,273,68.0,5.5,0,0.16,0.05,0.0,0.0,-0.16,0,0.23,0.08,0.16,0.05,0.0,0.0,0.39,0.32,9.0,10.5,10.3,2.21,10.5,12.2,0,0.0,0,0,0.0,3,2,0.66,14,4.65,0,6.9,7.0,3.0
98,Sandro Tonali,Spurs,MID,345,86.0,5.4,0,0.18,0.05,0.17,0.04,-0.01,0,0.4,0.1,0.55,0.14,0.0,0.0,0.58,0.73,12.0,14.1,14.6,1.24,13.8,17.7,1,0.26,0,1,0.26,5,3,0.78,31,8.11,0,7.08,455.0,3.0
99,Alex Iwobi,Fulham,MID,340,84.0,5.4,0,0.2,0.05,0.0,0.0,-0.2,0,0.81,0.21,0.76,0.2,0.0,0.0,1.01,0.96,9.0,12.4,12.3,0.66,12.0,17.7,1,0.26,0,0,0.0,4,5,1.32,22,5.86,0,7.05,261.0,3.0
100,Nilson Angulo,Sunderland,MID,258,64.0,5.0,1,0.15,0.05,0.27,0.09,0.12,0,0.13,0.05,0.08,0.03,1.0,0.35,0.27,0.23,12.0,8.1,8.0,0.84,7.8,12.6,0,0.0,0,1,0.35,2,1,0.35,20,7.09,0,6.8,551.0,3.0
101,Noah Okafor,Leeds,MID,155,64.0,5.8,0,0.08,0.05,0.0,0.0,-0.08,0,0.18,0.1,0.1,0.06,0.0,0.0,0.26,0.18,6.0,6.9,6.7,0.3,6.0,17.4,0,0.0,0,0,0.0,2,1,0.58,7,4.12,0,6.77,336.0,3.0
102,Shea Charles,Fulham,MID,214,84.0,5.0,0,0.09,0.04,0.0,0.0,-0.09,0,0.14,0.06,0.18,0.08,0.0,0.0,0.23,0.27,9.0,9.9,10.0,0.42,9.4,18.5,0,0.0,0,0,0.0,2,3,1.26,33,13.94,0,6.78,580.0,3.0
103,Yehor Yarmoliuk,Brentford,MID,149,59.0,4.9,0,0.07,0.04,0.0,0.0,-0.07,1,0.25,0.15,0.46,0.28,1.0,0.6,0.31,0.53,6.0,4.1,4.7,0.17,4.9,13.3,1,0.6,0,0,0.0,2,2,1.21,16,9.73,0,6.48,102.0,3.0
104,Antoine Semenyo,Man City,MID,360,90.0,8.4,0,0.18,0.04,0.36,0.09,0.18,2,0.99,0.25,1.2,0.3,2.0,0.5,1.16,1.37,16.0,13.8,14.4,1.66,14.1,16.0,2,0.5,0,2,0.5,5,7,1.75,15,3.75,0,6.58,397.0,3.0
105,Xaver Schlager,Nott'm Forest,MID,286,90.0,5.0,0,0.14,0.04,0.19,0.06,0.05,0,0.09,0.03,0.07,0.02,0.0,0.0,0.22,0.21,11.0,11.9,11.9,0.96,11.9,17.0,0,0.0,1,1,0.31,4,1,0.31,42,13.22,0,7.03,558.0,3.0
106,James McAtee,Nott'm Forest,MID,335,84.0,5.5,0,0.16,0.04,0.05,0.01,-0.11,0,1.01,0.27,1.39,0.37,0.0,0.0,1.08,1.55,10.0,13.6,15.0,1.59,14.6,19.9,2,0.54,0,2,0.54,5,11,2.96,35,9.43,0,7.13,486.0,3.0
107,Alexis Mac Allister,Liverpool,MID,218,80.0,5.4,0,0.1,0.04,0.04,0.02,-0.06,0,0.44,0.18,0.27,0.11,0.0,0.0,0.54,0.37,6.0,7.8,7.3,0.57,6.9,16.5,0,0.0,0,1,0.41,3,3,1.24,28,11.67,0,6.9,372.0,3.0
108,Hayden Hackney,Everton,MID,137,78.0,5.5,0,0.05,0.03,0.0,0.0,-0.05,1,0.13,0.09,0.22,0.14,1.0,0.66,0.18,0.27,9.0,6.6,6.9,0.14,6.0,17.7,0,0.0,0,0,0.0,2,4,2.63,12,7.94,0,6.8,247.0,3.0
109,Declan Rice,Arsenal,MID,324,80.0,7.4,0,0.1,0.03,0.0,0.0,-0.1,2,0.62,0.17,0.75,0.21,2.0,0.56,0.73,0.85,19.0,15.4,15.8,2.38,15.2,16.7,1,0.28,0,0,0.0,3,6,1.67,34,9.53,0,7.55,13.0,3.0
110,Archie Gray,Spurs,MID,239,79.0,4.9,0,0.09,0.03,0.0,0.0,-0.09,0,0.04,0.02,0.01,0.0,0.0,0.0,0.13,0.1,7.0,7.6,7.5,0.84,7.3,13.9,0,0.0,0,0,0.0,2,0,0.0,22,8.39,0,6.47,522.0,3.0
111,Adam Wharton,Crystal Palace,MID,347,86.0,5.5,0,0.08,0.02,0.0,0.0,-0.08,0,0.36,0.09,0.92,0.24,0.0,0.0,0.44,1.0,10.0,11.5,13.2,0.67,13.9,16.6,2,0.52,0,0,0.0,1,5,1.3,34,8.84,0,6.93,210.0,3.0
112,Caleb Yirenkyi,Coventry City,MID,177,66.0,4.9,0,0.03,0.02,0.0,0.0,-0.03,0,0.14,0.07,0.13,0.07,0.0,0.0,0.17,0.16,6.0,6.6,6.5,0.64,6.1,13.2,0,0.0,0,0,0.0,1,2,1.02,16,8.23,0,6.43,575.0,3.0
113,Marcelino Núñez,Ipswich Town,MID,142,70.0,5.0,0,0.03,0.02,0.0,0.0,-0.03,0,0.06,0.04,0.06,0.04,0.0,0.0,0.08,0.09,6.0,6.3,6.3,0.53,6.8,20.3,0,0.0,0,0,0.0,1,1,0.63,21,13.5,0,6.9,309.0,3.0
114,Matt Grimes,Coventry City,MID,354,88.0,4.9,0,0.09,0.02,0.0,0.0,-0.09,0,0.08,0.02,0.07,0.02,0.0,0.0,0.17,0.17,8.0,8.7,8.7,0.82,9.5,11.4,0,0.0,0,0,0.0,3,1,0.25,28,7.14,0,6.8,184.0,3.0
115,Elliot Stroud,Hull City,MID,253,62.0,5.0,0,0.07,0.02,0.0,0.0,-0.07,0,0.04,0.01,0.06,0.02,0.0,0.0,0.11,0.12,7.0,7.5,7.5,0.71,6.2,6.0,0,0.0,0,0,0.0,3,1,0.36,20,7.23,0,6.5,576.0,3.0
116,Harrison Armstrong,Everton,MID,356,89.0,5.0,0,0.09,0.02,0.0,0.0,-0.09,1,0.12,0.03,0.42,0.11,1.0,0.25,0.21,0.51,14.0,11.8,12.7,1.26,12.0,9.9,1,0.25,0,0,0.0,2,2,0.51,35,8.85,0,6.53,244.0,3.0
117,Elliot Anderson,Man City,MID,325,81.0,6.3,0,0.09,0.02,0.19,0.05,0.1,0,0.65,0.18,0.92,0.25,0.0,0.0,0.74,1.01,13.0,15.4,16.2,1.66,15.9,22.2,2,0.55,0,1,0.28,3,3,0.83,44,12.26,0,7.55,481.0,3.0
118,Regan Slater,Hull City,MID,360,90.0,4.5,0,0.08,0.02,0.08,0.02,0.0,1,0.57,0.14,0.94,0.24,1.0,0.25,0.64,1.02,13.0,12.1,13.2,0.98,11.2,12.2,2,0.5,0,2,0.5,3,4,1.0,30,7.5,0,7.0,290.0,3.0
119,George Hemmings,Aston Villa,MID,281,70.0,4.5,0,0.07,0.02,0.08,0.03,0.01,0,0.16,0.05,0.48,0.15,0.0,0.0,0.23,0.55,8.0,8.8,9.8,0.94,9.7,10.2,1,0.32,0,1,0.32,1,3,0.96,19,6.13,0,6.38,51.0,3.0
120,Granit Xhaka,Sunderland,MID,360,90.0,5.5,0,0.06,0.02,0.0,0.0,-0.06,0,0.94,0.24,1.62,0.4,1.0,0.25,1.0,1.68,19.0,19.1,21.2,1.0,21.2,20.5,3,0.75,0,0,0.0,1,10,2.5,46,11.5,0,7.63,544.0,3.0
121,Lewis Miley,Newcastle,MID,229,76.0,5.5,0,0.05,0.02,0.0,0.0,-0.05,0,0.07,0.03,0.15,0.06,0.0,0.0,0.12,0.2,8.0,8.5,8.7,0.63,8.3,15.7,0,0.0,0,0,0.0,1,3,1.18,26,10.31,0,6.93,459.0,3.0
122,James Garner,Everton,MID,240,76.0,6.0,0,0.04,0.02,0.12,0.04,0.08,0,0.13,0.05,0.17,0.06,0.0,0.0,0.17,0.21,8.0,8.6,8.7,1.12,8.8,21.4,0,0.0,0,1,0.38,1,3,1.12,36,13.61,0,7.13,239.0,3.0
123,Conor Gallagher,Spurs,MID,128,64.0,5.4,0,0.02,0.01,0.0,0.0,-0.02,0,0.12,0.08,0.04,0.03,0.0,0.0,0.14,0.06,3.0,3.5,3.2,0.4,2.6,16.9,0,0.0,0,0,0.0,1,0,0.0,14,9.84,0,6.85,519.0,3.0
124,Brenden Aaronson,Leeds,MID,155,63.0,5.4,0,0.01,0.01,0.03,0.02,0.02,0,0.01,0.01,0.0,0.0,0.0,0.0,0.03,0.01,5.0,5.1,5.0,0.52,4.5,15.7,0,0.0,0,1,0.58,1,0,0.0,10,5.84,0,6.5,337.0,3.0
125,Harry Wilson,Leeds,MID,128,65.0,6.3,0,0.01,0.01,0.0,0.0,-0.01,0,0.07,0.05,0.2,0.14,0.0,0.0,0.07,0.21,4.0,4.2,4.6,0.52,4.1,10.5,0,0.0,0,0,0.0,1,4,2.81,9,6.38,0,6.7,260.0,3.0
126,Saša Lukić,Ipswich Town,MID,330,82.0,5.0,0,0.02,0.01,0.0,0.0,-0.02,1,0.15,0.04,0.27,0.07,1.0,0.27,0.18,0.29,9.0,6.6,6.9,1.56,8.5,12.3,0,0.0,0,0,0.0,1,5,1.36,31,8.51,0,6.53,267.0,3.0
127,Daichi Kamada,Crystal Palace,MID,353,88.0,5.0,0,0.05,0.01,0.0,0.0,-0.05,3,0.35,0.09,0.97,0.25,3.0,0.76,0.4,1.02,18.0,10.3,12.2,0.67,12.9,17.8,2,0.51,0,0,0.0,1,6,1.53,28,7.18,0,7.13,214.0,3.0
128,Tyler Adams,Bournemouth,MID,194,78.0,5.0,0,0.03,0.01,0.09,0.04,0.06,0,0.04,0.02,0.06,0.03,0.0,0.0,0.06,0.09,8.0,8.2,8.3,1.1,9.4,18.1,0,0.0,0,1,0.46,1,1,0.46,28,13.12,0,6.63,73.0,3.0
129,Abdul Fatawu Issahaku,Ipswich Town,MID,290,72.0,5.5,0,0.03,0.01,0.0,0.0,-0.03,1,0.83,0.26,1.45,0.45,1.0,0.31,0.86,1.48,9.0,8.6,10.5,1.56,12.1,18.0,3,0.93,0,0,0.0,2,7,2.17,24,7.55,0,6.9,315.0,3.0
130,Rodrigo Bentancur,Spurs,MID,288,81.0,5.5,0,0.02,0.01,0.0,0.0,-0.02,0,0.08,0.02,0.07,0.02,0.0,0.0,0.1,0.09,11.0,11.3,11.3,1.21,10.5,16.9,0,0.0,0,0,0.0,1,1,0.31,43,13.48,0,6.65,516.0,3.0
131,Sander Berge,Fulham,MID,275,81.0,4.9,0,0.03,0.01,0.0,0.0,-0.03,0,0.34,0.11,0.62,0.2,0.0,0.0,0.37,0.65,8.0,9.2,10.0,0.52,9.5,16.7,1,0.33,0,0,0.0,1,5,1.64,17,5.6,0,6.7,265.0,3.0
132,Frank Onyeka,Coventry City,MID,226,75.0,4.9,0,0.03,0.01,0.23,0.09,0.2,0,0.02,0.01,0.01,0.0,0.0,0.0,0.05,0.04,6.0,6.2,6.2,0.33,6.5,9.6,0,0.0,0,1,0.4,1,0,0.0,19,7.63,0,6.53,104.0,3.0
133,Matt Crooks,Hull City,MID,159,79.0,4.5,0,0.0,0.0,0.0,0.0,0.0,0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.56,2.6,6.2,0,0.0,0,0,0.0,0,0,0.0,19,10.82,0,6.7,289.0,3.0
134,Lewis Cook,Bournemouth,MID,166,72.0,5.0,0,0.0,0.0,0.0,0.0,0.0,0,0.02,0.01,0.05,0.03,0.0,0.0,0.01,0.05,7.0,7.0,7.2,0.26,5.5,11.9,0,0.0,0,0,0.0,0,1,0.54,12,6.55,0,6.58,71.0,3.0
135,Nico González,Newcastle,MID,148,73.0,5.5,0,0.0,0.0,0.0,0.0,0.0,0,0.21,0.13,0.2,0.12,0.0,0.0,0.21,0.2,4.0,4.6,4.6,0.58,4.2,12.2,0,0.0,0,0,0.0,0,3,1.82,11,6.78,0,6.5,405.0,3.0
136,Exequiel Palacios,Ipswich Town,MID,196,84.0,5.0,0,0.0,0.0,0.0,0.0,0.0,0,0.07,0.03,0.15,0.07,0.0,0.0,0.07,0.15,9.0,9.2,9.4,1.04,10.4,22.5,0,0.0,0,0,0.0,0,3,1.38,38,17.54,0,7.03,619.0,3.0
137,Lucas Gourna-Douath,Hull City,MID,127,81.0,5.0,0,0.0,0.0,0.0,0.0,0.0,0,0.02,0.01,0.09,0.06,0.0,0.0,0.02,0.09,3.0,3.1,3.3,0.15,2.4,9.2,0,0.0,0,0,0.0,0,2,1.42,16,11.43,0,6.85,589.0,3.0
138,Boubacar Kamara,Aston Villa,MID,360,90.0,5.0,0,0.0,0.0,0.0,0.0,0.0,0,0.15,0.04,0.18,0.04,0.0,0.0,0.15,0.18,9.0,9.4,9.5,1.04,9.5,14.8,0,0.0,0,0,0.0,0,3,0.75,30,7.5,0,6.78,47.0,3.0
139,Andrey Santos,Man Utd,MID,90,66.0,4.9,0,0.0,0.0,0.0,0.0,0.0,0,0.24,0.24,0.07,0.07,0.0,0.0,0.24,0.07,4.0,4.7,4.2,0.36,4.6,23.0,0,0.0,0,0,0.0,0,0,0.0,18,19.76,0,6.77,162.0,3.0
140,Ethan Ampadu,Leeds,MID,270,90.0,5.4,0,0.01,0.0,0.0,0.0,-0.01,0,0.14,0.05,0.18,0.06,0.0,0.0,0.15,0.19,9.0,9.5,9.6,0.82,9.4,14.3,0,0.0,0,0,0.0,1,3,1.0,34,11.33,0,6.9,338.0,3.0
141,Merlin Röhl,Everton,MID,251,83.0,5.0,0,0.0,0.0,0.0,0.0,0.0,0,0.19,0.07,0.44,0.16,0.0,0.0,0.2,0.44,6.0,6.6,7.3,0.76,7.1,12.5,1,0.36,0,0,0.0,0,2,0.72,24,8.67,0,6.77,246.0,3.0
