,player,team,pos,mins,mins/st,price,G,xG,xG90,xGOT,xGOT90,Finish_qual,A,xA,xA90,xA_FPL,xA_FPL90,GI,GI90,xGI,xGI_fit,Pts,xPts,xPts_fit,xCS,xPts_full,basBPS90,BigChCr,BigChCr90,BigChMiss,SoT,SoT90,Shots,KeyP,KP90,defcon,defcon90,PensWon,rating,fpl_id,etype
26,Liam Delap,Nott'm Forest,FWD,187,82.0,5.5,1,0.76,0.37,0.14,0.07,-0.62,0,0.14,0.07,0.52,0.25,1.0,0.48,0.9,1.28,8.0,7.5,8.6,0.79,8.6,7.7,1,0.48,1,1,0.48,8,4,1.93,9,4.33,0,6.7,167.0,4.0
27,Morgan Rogers,Chelsea,MID,349,87.0,7.7,3,1.38,0.36,1.46,0.38,0.08,1,1.17,0.3,1.39,0.36,4.0,1.03,2.55,2.78,27.0,19.4,20.1,0.89,21.0,14.2,2,0.52,1,4,1.03,11,10,2.58,23,5.97,0,7.88,40.0,3.0
28,Dan Ndoye,Nott'm Forest,MID,262,64.0,5.5,1,1.05,0.36,0.68,0.23,-0.37,0,0.88,0.3,0.99,0.34,1.0,0.34,1.93,2.04,14.0,16.9,17.2,1.24,17.4,7.9,2,0.69,2,2,0.69,8,3,1.03,19,6.63,0,6.8,483.0,3.0
29,Dominic Solanke,Spurs,FWD,112,62.0,5.9,0,0.44,0.35,0.0,0.0,-0.44,0,0.01,0.01,0.0,0.0,0.0,0.0,0.45,0.44,5.0,6.8,6.8,0.33,6.8,9.6,0,0.0,1,1,0.8,3,0,0.0,3,2.57,0,6.3,526.0,4.0
30,Patrick Dorgu,Man Utd,MID,165,68.0,5.8,0,0.65,0.35,0.3,0.16,-0.35,0,0.07,0.04,0.11,0.06,0.0,0.0,0.73,0.76,6.0,9.5,9.6,0.33,9.9,8.2,0,0.0,2,1,0.55,5,2,1.09,18,9.82,0,6.13,415.0,3.0
31,Jack Rudoni,Coventry City,MID,227,68.0,5.0,0,0.82,0.33,1.67,0.66,0.85,0,0.92,0.36,0.63,0.25,0.0,0.0,1.74,1.46,8.0,14.9,14.0,0.67,13.7,13.9,0,0.0,3,3,1.19,5,8,3.17,21,8.44,0,6.98,183.0,3.0
32,Dominik Szoboszlai,Liverpool,MID,360,90.0,7.0,1,1.29,0.32,2.3,0.57,1.01,0,0.76,0.19,1.61,0.4,1.0,0.25,2.09,2.9,18.0,21.9,24.3,1.28,23.6,20.0,3,0.75,0,5,1.25,11,11,2.75,35,8.75,0,7.23,368.0,3.0
33,Joshua King,Fulham,MID,347,86.0,5.5,2,1.17,0.3,0.95,0.25,-0.22,0,0.43,0.11,0.6,0.16,2.0,0.52,1.59,1.76,22.0,19.1,19.6,0.66,19.3,16.3,1,0.26,1,5,1.3,11,4,1.04,23,5.98,0,7.1,268.0,3.0
34,Cole Palmer,Chelsea,MID,353,88.0,9.7,2,1.19,0.3,0.64,0.16,-0.55,2,0.61,0.16,1.47,0.37,4.0,1.02,1.79,2.65,26.0,17.7,20.3,0.89,21.2,18.6,3,0.76,1,5,1.27,15,9,2.29,23,5.88,0,7.58,154.0,3.0
35,Justin Kluivert,Bournemouth,MID,298,74.0,6.0,1,0.98,0.3,2.29,0.69,1.31,0,0.08,0.02,0.16,0.05,1.0,0.3,1.07,1.15,15.0,15.2,15.4,1.36,14.8,13.9,0,0.0,1,6,1.81,10,3,0.91,22,6.73,0,6.78,70.0,3.0
