gw,team,name,mins,rating,sot,shots,bcc,bcm,kp,xg,xa,g,a,tkl,intc,clr,saves,gprev,penWon,player,fpl_id,fpl_mins,fG,fA,fxg,fxa,Pts,CS,dc,bps,fpl_saves,team_xga,xgot,starts
1,Aston Villa,Pau Torres,74,4.9,0,0,0,0,0,0.0,0.00312322,0,0,0,1,4,0,0.0,0,Pau Torres,34,73,0,0,0.0,0.0,0,0,5,-14,0,3.77,0.0,1
1,Aston Villa,Ross Barkley,74,6.5,0,1,0,0,2,0.0964,0.0169328,0,0,0,0,0,0,0.0,0,Ross Barkley,46,73,0,0,0.1,0.02,2,0,1,11,0,3.77,0.0,1
1,Aston Villa,Tyrone Mings,16,6.8,0,0,0,0,0,0.0,0.0,0,0,1,0,0,0,0.0,0,Tyrone Mings,33,16,0,0,0.0,0.0,1,0,1,5,0,3.77,0.0,0
1,Aston Villa,Victor Lindelöf,90,5.0,0,0,0,0,0,0.0,0.00074572,0,0,0,0,3,0,0.0,0,Victor Lindelöf,37,90,0,0,0.0,0.0,-2,0,3,-13,0,3.77,0.0,1
1,Bournemouth,Adam Smith,90,6.1,0,0,0,0,0,0.0,0.00255285,0,0,1,2,2,0,0.0,0,Adam Smith,64,90,0,0,0.0,0.0,1,0,5,4,0,2.25,0.0,1
1,Bournemouth,Adrien Truffert,90,6.6,0,0,0,0,0,0.0,0.00362241,0,0,2,0,4,0,0.0,0,Adrien Truffert,61,90,0,0,0.0,0.0,1,0,7,0,0,2.25,0.0,1
1,Bournemouth,Alex Scott,90,7.0,0,0,0,0,0,0.0,0.00679912,0,0,4,1,0,0,0.0,0,Alex Scott,69,90,0,0,0.0,0.01,2,0,11,17,0,2.25,0.0,1
1,Bournemouth,Alex Tóth,15,6.3,0,0,0,0,0,0.0,0.00350405,0,0,1,0,0,0,0.0,0,Alex Tóth,76,15,0,0,0.0,0.0,1,0,2,5,0,2.25,0.0,0
1,Bournemouth,António Silva,90,6.6,0,0,0,0,0,0.0,0.00225084,0,0,0,0,11,0,0.0,0,António Silva,566,90,0,0,0.0,0.0,2,0,13,5,0,2.25,0.0,1
1,Bournemouth,Ben Gannon-Doak,1,0.0,0,0,0,0,0,0.0,0.00167246,0,0,0,0,0,0,0.0,0,Ben Gannon-Doak,72,1,0,0,0.0,0.0,1,0,1,3,0,2.25,0.0,0
1,Bournemouth,Daniel Jebbison,15,6.8,1,1,0,0,0,0.0969,0.00394837,0,0,0,0,0,0,0.0,0,Daniel Jebbison,608,15,0,0,0.1,0.0,1,0,1,6,0,2.25,0.1137,0
1,Bournemouth,Evanilson,75,6.6,0,0,1,0,1,0.0,0.214978,0,1,1,3,1,0,0.0,0,Evanilson,79,74,0,1,0.0,0.21,4,1,8,17,0,2.25,0.0,1
1,Bournemouth,James Hill,90,6.5,0,0,0,0,0,0.0,0.00297104,0,0,1,0,5,0,0.0,0,James Hill,60,90,0,0,0.0,0.0,1,0,6,0,0,2.25,0.0,1
1,Bournemouth,Justin Kluivert,75,7.2,1,1,0,0,1,0.1064,0.00259,0,0,3,1,0,0,0.0,0,Justin Kluivert,70,74,0,0,0.11,0.0,3,1,9,15,0,2.25,0.4255,1
1,Bournemouth,Lewis Cook,75,6.5,0,0,0,0,0,0.0,0.00140498,0,0,1,2,1,0,0.0,0,Lewis Cook,71,75,0,0,0.0,0.0,3,1,7,8,0,2.25,0.0,1
1,Bournemouth,Marcus Tavernier,90,7.5,1,2,0,0,1,0.4007,0.0759027,1,0,2,0,2,0,0.0,0,Marcus Tavernier,68,90,1,0,0.4,0.08,10,0,8,32,0,2.25,0.9341,1
1,Bournemouth,Rayan,89,6.1,1,1,0,0,1,0.0421,0.0260107,0,0,0,1,0,0,0.0,0,Rayan,67,88,0,0,0.04,0.03,2,0,1,9,0,2.25,0.2238,1
1,Bournemouth,Tyler Adams,15,6.3,0,0,0,0,0,0.0,0.00166146,0,0,0,3,0,0,0.0,0,Tyler Adams,73,15,0,0,0.0,0.0,1,0,3,4,0,2.25,0.0,0
1,Bournemouth,Đorđe Petrović,90,7.7,0,0,0,0,0,0.0,0.00097423,0,0,0,0,2,4,0.6772,0,Đorđe Petrović,57,90,0,0,0.0,0.0,2,0,0,13,4,2.25,0.0,1
1,Brentford,Aaron Hickey,14,6.6,0,0,0,0,0,0.0,0.00125164,0,0,0,0,0,0,0.0,0,Aaron Hickey,90,14,0,0,0.0,0.0,1,0,0,2,0,0.57,0.0,0
1,Brentford,Callum Wilson,12,7.0,0,1,0,0,1,0.033,0.0373702,0,0,0,0,0,0,0.0,0,Callum Wilson,108,7,0,0,0.03,0.04,1,0,0,4,0,0.57,0.0,0
1,Brentford,Caoimhin Kelleher,90,8.0,0,0,0,0,0,0.0,0.00524545,0,0,0,0,0,4,0.6078,0,Caoimhin Kelleher,82,90,0,0,0.0,0.01,7,1,0,34,4,0.57,0.0,1
1,Brentford,Dango Ouattara,67,6.4,0,2,0,0,3,0.0498,0.287399,0,0,0,2,0,0,0.0,0,Dango Ouattara,95,66,0,0,0.05,0.29,3,1,6,6,0,0.57,0.0,1
1,Brentford,Igor Thiago,83,6.1,0,2,0,1,0,1.0014,0.0830059,0,0,0,0,0,0,0.0,0,Igor Thiago,106,82,0,0,1.0,0.08,0,1,5,-3,0,0.57,0.0,1
1,Brentford,Jaidon Anthony,23,7.7,0,1,0,0,3,0.027,0.351818,0,0,2,0,0,0,0.0,0,Jaidon Anthony,105,23,0,0,0.03,0.35,1,0,8,9,0,0.57,0.0,0
1,Brentford,Keane Lewis-Potter,90,7.8,1,2,0,0,1,0.7701,0.117822,1,0,1,2,2,0,0.0,0,Keane Lewis-Potter,86,90,1,0,0.77,0.12,10,1,10,37,0,0.57,0.8204,1
1,Brentford,Kevin Schade,90,7.9,2,5,0,0,1,0.5242,0.0122089,0,0,3,0,1,0,0.0,1,Kevin Schade,94,90,0,0,0.52,0.01,3,1,9,17,0,0.57,0.3533,1
1,Brentford,Kristoffer Ajer,90,7.5,1,1,0,0,0,0.1071,0.0201078,0,0,2,2,6,0,0.0,0,Kristoffer Ajer,87,90,0,0,0.11,0.02,8,1,10,29,0,0.57,0.122,1
1,Brentford,Mamadou Sangare,76,7.3,1,1,1,0,2,0.0527,0.325372,0,1,2,2,2,0,0.0,0,Mamadou Sangare,565,75,0,2,0.05,0.33,14,1,13,41,0,0.57,0.18,1
1,Brentford,Mathias Jensen,67,7.4,1,2,1,1,3,0.082,0.338153,0,0,2,0,0,0,0.0,0,Mathias Jensen,97,66,0,1,0.08,0.34,6,1,5,22,0,0.57,0.0637,1
1,Brentford,Michael Kayode,76,7.6,1,4,0,0,0,0.5007,0.00071952,1,0,0,3,1,0,0.0,0,Michael Kayode,88,75,1,0,0.5,0.0,13,1,4,36,0,0.57,0.9699,1
1,Brentford,Mikkel Damsgaard,14,7.5,0,0,0,0,2,0.0,0.107965,0,0,1,0,0,0,0.0,0,Mikkel Damsgaard,96,14,0,0,0.0,0.11,1,0,4,6,0,0.57,0.0,0
1,Brentford,Nathan Collins,90,6.8,0,2,0,1,2,0.3367,0.037136,0,0,0,0,3,0,0.0,0,Nathan Collins,84,90,0,0,0.34,0.04,6,1,3,21,0,0.57,0.0,1
1,Brentford,Vitaly Janelt,90,7.9,1,2,0,0,2,0.386,0.17337,1,0,4,4,1,0,0.0,0,Vitaly Janelt,98,90,1,0,0.39,0.17,9,1,13,35,0,0.57,0.6119,1
1,Brentford,Yehor Yarmoliuk,23,6.8,0,1,0,0,0,0.0351,0.00482783,0,0,2,1,0,0,0.0,0,Yehor Yarmoliuk,102,23,0,0,0.04,0.0,1,0,6,7,0,0.57,0.0,0
1,Brighton,Bart Verbruggen,90,6.9,0,0,0,0,0,0.0,0.00046814,0,0,0,0,0,0,0.0,0,Bart Verbruggen,109,90,0,0,0.0,0.0,6,1,0,25,0,0.29,0.0,1
1,Brighton,Charalampos Kostoulas,26,6.4,0,2,0,1,0,0.1765,0.00151342,0,0,1,0,0,0,0.0,0,Charalampos Kostoulas,138,26,0,0,0.18,0.0,1,0,2,-1,0,0.29,0.0,0
1,Brighton,Costinha,26,6.6,1,2,0,0,0,0.1245,0.00365514,0,0,1,1,2,0,0.0,0,Costinha,119,26,0,0,0.12,0.0,1,0,4,7,0,0.29,0.0273,0
1,Brighton,Diego Gómez,86,8.3,2,3,1,0,2,0.1838,0.481699,0,1,3,1,1,0,0.0,0,Diego Gómez,127,85,0,1,0.18,0.48,6,1,6,27,0,0.29,1.0043,1
1,Brighton,Georginio Rutter,90,7.6,0,2,1,0,1,0.0786,0.443403,0,1,2,0,1,0,0.0,0,Georginio Rutter,125,90,0,1,0.08,0.44,5,1,7,22,0,0.29,0.0,1
1,Brighton,Ibrahim Osman,12,6.5,0,0,0,0,1,0.0,0.050334,0,0,0,0,0,0,0.0,0,Ibrahim Osman,600,12,0,0,0.0,0.05,1,0,2,7,0,0.29,0.0,0
1,Brighton,Jack Hinshelwood,64,9.0,2,3,0,0,1,1.4118,0.0155949,2,0,2,0,0,0,0.0,0,Jack Hinshelwood,123,63,2,0,1.41,0.02,16,1,3,54,0,0.29,1.5658,1
1,Brighton,Lewis Dunk,90,7.7,0,0,0,0,0,0.0,0.0394416,0,0,1,1,0,0,0.0,0,Lewis Dunk,116,90,0,0,0.0,0.04,6,1,2,24,0,0.29,0.0,1
1,Brighton,Luka Vušković,90,7.9,0,2,0,1,0,0.1268,0.0344065,0,0,0,0,4,0,0.0,0,Luka Vušković,504,90,0,0,0.13,0.03,6,1,4,19,0,0.29,0.0,1
1,Brighton,Malick Yalcouyé,9,6.6,0,0,0,0,0,0.0,0.00546877,0,0,0,0,0,0,0.0,0,Malick Yalcouyé,605,4,0,0,0.0,0.01,1,0,0,3,0,0.29,0.0,0
1,Brighton,Mats Wieffer,78,7.2,0,1,0,0,2,0.0859,0.0502732,0,0,4,4,0,0,0.0,0,Mats Wieffer,130,77,0,0,0.09,0.05,7,1,8,32,0,0.29,0.0,1
1,Brighton,Maxim De Cuyper,78,8.2,1,4,0,1,4,1.4668,0.21146,1,0,3,1,0,0,0.0,0,Maxim De Cuyper,115,77,1,1,1.47,0.21,17,1,4,46,0,0.29,0.9915,1
1,Brighton,Olivier Boscagli,90,7.7,0,0,0,0,0,0.0,0.037316,0,0,1,2,3,0,0.0,0,Olivier Boscagli,114,90,0,0,0.0,0.04,6,1,6,29,0,0.29,0.0,1
1,Brighton,Pascal Groß,90,7.3,0,0,1,0,4,0.0,0.268424,0,0,3,0,0,0,0.0,0,Pascal Groß,124,90,0,0,0.0,0.27,2,1,5,18,0,0.29,0.0,1
1,Brighton,Yasin Ayari,64,6.3,0,2,0,0,1,0.1115,0.0292607,0,0,0,0,1,0,0.0,0,Yasin Ayari,129,63,0,0,0.11,0.03,2,1,4,8,0,0.29,0.0,1
1,Brighton,Zadok Yohanna,12,6.6,0,0,0,0,0,0.0,0.0256678,0,0,0,0,0,0,0.0,0,Zadok Yohanna,135,12,0,0,0.0,0.03,1,0,0,3,0,0.29,0.0,0
1,Chelsea,Cole Palmer,83,9.0,2,5,1,0,3,0.283,0.18864,1,1,2,0,0,0,0.0,0,Cole Palmer,154,82,1,1,0.28,0.19,13,0,9,60,0,1.33,0.1951,1
1,Chelsea,Enzo Fernández,25,6.9,0,0,0,0,1,0.0,0.0157692,0,0,0,0,0,0,0.0,0,Enzo Fernández,155,25,0,0,0.0,0.02,1,0,3,6,0,1.33,0.0,0
1,Chelsea,Estêvão,12,6.4,0,0,0,0,0,0.0,0.00185821,0,0,0,0,0,0,0.0,0,Estêvão,157,7,0,0,0.0,0.0,1,0,1,3,0,1.33,0.0,0
1,Chelsea,Geovany Quenda,8,6.5,0,0,0,0,0,0.0,0.00015949,0,0,0,0,1,0,0.0,0,Geovany Quenda,164,8,0,0,0.0,0.0,1,0,1,2,0,1.33,0.0,0
