,player,team,pos,mins,mins/st,price,CS,Tkl,Int,Clr,defcon,defcon90,GI,GI90,xGI,xGI_fit,Pts,xPts,xPts_fit,xCS,xPts_full,basBPS90,G,xG,xG90,A,xA,xA90,xA_FPL,xA_FPL90,Saves,GK_prevented,rating,fpl_id,etype
108,Ferdi Kadıoğlu,Brighton,DEF,258,86.0,4.4,1,1,1,5,7,2.45,0.0,0.0,0.19,0.25,8.0,8.8,9.0,0.4,6.6,9.8,0,0.08,0.03,0,0.11,0.04,0.17,0.06,0,0.0,6.23,113.0,2.0
109,Maxim De Cuyper,Brighton,DEF,335,83.0,4.8,1,4,2,3,9,2.43,4.0,1.07,1.97,2.7,32.0,27.5,29.7,1.15,26.3,16.9,1,1.53,0.41,2,0.44,0.12,1.17,0.31,0,0.0,7.03,115.0,2.0
110,Ayden Heaven,Man Utd,DEF,90,90.0,4.4,0,1,0,1,2,2.0,0.0,0.0,0.16,0.13,1.0,1.8,1.8,0.36,3.2,5.0,0,0.12,0.12,0,0.04,0.04,0.01,0.01,0,0.0,6.3,421.0,2.0
111,Nico O'Reilly,Man City,DEF,160,75.0,6.4,0,2,0,1,3,1.71,0.0,0.0,0.52,0.26,5.0,6.8,6.0,1.04,10.2,10.7,0,0.09,0.05,0,0.43,0.24,0.17,0.1,0,0.0,6.57,387.0,2.0
112,Antonín Kinský,Spurs,GK,360,90.0,4.5,2,0,0,10,0,0.0,0.0,0.0,0.0,0.05,16.0,16.0,16.2,1.24,13.2,18.0,0,0.0,0.0,0,0.01,0.0,0.05,0.01,9,-0.49,6.78,496.0,1.0
113,Marco Bizot,Aston Villa,GK,90,90.0,4.5,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.02,1.1,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,3,-0.41,6.4,29.0,1.0
114,Walter Benítez,Crystal Palace,GK,90,90.0,4.5,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.19,2.8,3.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,3,0.81,7.6,199.0,1.0
115,Dean Henderson,Crystal Palace,GK,270,90.0,5.0,0,0,0,6,0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,0.48,6.9,12.3,0,0.0,0.0,0,0.0,0.0,0.0,0.0,12,-1.45,6.8,198.0,1.0
116,James Trafford,Leeds,GK,270,90.0,5.0,1,0,0,2,0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,15.0,0.82,14.3,22.0,0,0.0,0.0,0,0.01,0.0,0.0,0.0,11,-0.18,6.97,385.0,1.0
117,Zion Suzuki,Aston Villa,GK,270,90.0,5.0,1,0,0,5,0,0.0,0.0,0.0,0.01,0.0,14.0,14.0,14.0,1.02,14.1,21.0,0,0.0,0.0,0,0.01,0.0,0.0,0.0,10,0.31,7.2,597.0,1.0
118,Lukáš Horníček,Newcastle,GK,270,90.0,5.0,1,0,0,5,0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,0.63,8.5,18.7,0,0.0,0.0,0,0.01,0.0,0.0,0.0,13,1.87,7.73,567.0,1.0
