,player,team,pos,mins,mins/st,price,CS,Tkl,Int,Clr,defcon,defcon90,GI,GI90,xGI,xGI_fit,Pts,xPts,xPts_fit,xCS,xPts_full,basBPS90,G,xG,xG90,A,xA,xA90,xA_FPL,xA_FPL90,Saves,GK_prevented,rating,fpl_id,etype
39,Daniel Ballard,Sunderland,DEF,360,90.0,4.9,1,6,2,25,35,8.75,0.0,0.0,0.33,0.31,12.0,13.5,13.4,1.0,13.4,10.8,0,0.17,0.04,0,0.16,0.04,0.14,0.04,0,0.0,6.8,532.0,2.0
40,Mats Wieffer,Brighton,DEF,158,78.0,5.0,0,4,6,2,15,8.65,0.0,0.0,0.25,0.25,7.0,8.1,8.1,0.8,7.3,21.6,0,0.12,0.07,0,0.13,0.07,0.13,0.07,0,0.0,7.3,130.0,2.0
41,Jan Paul van Hecke,Spurs,DEF,360,90.0,4.9,2,7,1,21,34,8.5,0.0,0.0,0.46,0.51,18.0,20.4,20.6,1.24,17.6,17.0,0,0.34,0.08,0,0.13,0.03,0.17,0.04,0,0.0,7.58,112.0,2.0
42,Josh Acheampong,Chelsea,DEF,202,90.0,4.5,0,6,1,10,19,8.47,0.0,0.0,0.02,0.01,5.0,5.1,5.0,0.39,6.6,4.0,0,0.0,0.0,0,0.02,0.01,0.01,0.0,0,0.0,6.37,151.0,2.0
43,Vitaliy Mykolenko,Everton,DEF,360,90.0,4.5,2,11,6,12,33,8.25,0.0,0.0,0.14,0.13,22.0,22.4,22.4,1.26,19.4,20.0,0,0.0,0.0,0,0.13,0.03,0.13,0.03,0,0.0,7.13,233.0,2.0
44,Joe Rodon,Leeds,DEF,124,62.0,4.4,1,1,1,8,11,8.05,0.0,0.0,0.09,0.09,7.0,7.4,7.4,0.52,5.5,18.1,0,0.03,0.02,0,0.06,0.04,0.06,0.04,0,0.0,6.95,329.0,2.0
45,Luka Vušković,Brighton,DEF,348,87.0,5.0,1,4,2,23,31,8.04,1.0,0.26,0.53,0.48,24.0,21.0,20.8,1.15,17.4,15.3,1,0.46,0.12,0,0.07,0.02,0.02,0.01,0,0.0,7.48,504.0,2.0
46,Gabriel Magalhães,Arsenal,DEF,360,90.0,8.0,3,3,6,20,32,8.0,0.0,0.0,0.57,0.53,24.0,27.2,27.1,2.38,24.6,21.0,0,0.5,0.12,0,0.06,0.02,0.02,0.0,0,0.0,7.13,4.0,2.0
47,Jaydee Canvot,Crystal Palace,DEF,270,90.0,4.9,0,7,3,10,24,8.0,0.0,0.0,0.06,0.06,2.0,2.3,2.3,0.48,4.2,4.0,0,0.05,0.02,0,0.02,0.01,0.01,0.0,0,0.0,6.4,203.0,2.0
48,Sven Botman,Newcastle,DEF,270,90.0,5.0,1,2,1,14,24,8.0,0.0,0.0,0.18,0.06,9.0,9.6,9.2,0.63,7.7,9.7,0,0.01,0.0,0,0.18,0.06,0.05,0.02,0,0.0,6.73,447.0,2.0
49,Nathan Collins,Brentford,DEF,197,65.0,5.5,1,2,2,13,17,7.81,0.0,0.0,0.56,0.61,10.0,13.2,13.4,0.8,12.6,17.8,0,0.5,0.23,0,0.04,0.02,0.1,0.05,0,0.0,6.67,84.0,2.0
50,Jérémy Jacquet,Liverpool,DEF,327,81.0,5.0,2,8,6,11,28,7.75,0.0,0.0,0.12,0.17,18.0,18.4,18.5,1.28,15.6,23.7,0,0.0,0.0,0,0.12,0.03,0.17,0.05,0,0.0,7.8,362.0,2.0
51,Micky van de Ven,Spurs,DEF,270,90.0,5.0,2,4,2,17,23,7.67,0.0,0.0,0.61,0.58,15.0,18.5,18.5,1.21,15.3,20.7,0,0.57,0.19,0,0.04,0.01,0.01,0.0,0,0.0,7.07,503.0,2.0
52,Jacob Greaves,Ipswich Town,DEF,358,89.0,4.0,0,5,2,18,30,7.56,0.0,0.0,0.06,0.06,3.0,3.2,3.2,1.56,9.4,3.0,0,0.0,0.0,0,0.06,0.02,0.06,0.02,0,0.0,6.2,306.0,2.0
53,Joachim Andersen,Fulham,DEF,180,90.0,5.0,0,2,2,11,15,7.5,0.0,0.0,0.1,0.16,2.0,2.3,2.5,0.27,3.6,6.0,0,0.0,0.0,0,0.1,0.05,0.16,0.08,0,0.0,6.95,253.0,2.0
54,Reinildo Mandava,Sunderland,DEF,360,90.0,4.5,1,8,8,12,29,7.25,0.0,0.0,0.32,0.19,7.0,8.0,7.6,1.0,7.6,9.2,0,0.0,0.0,0,0.32,0.08,0.19,0.05,0,0.0,6.68,536.0,2.0
55,Luke Shaw,Man Utd,DEF,252,84.0,4.4,0,6,4,7,20,7.14,1.0,0.36,0.53,0.69,7.0,5.7,6.1,0.86,9.5,13.6,0,0.02,0.01,1,0.5,0.18,0.67,0.24,0,0.0,6.93,423.0,2.0
56,Miloš Kerkez,Liverpool,DEF,296,83.0,5.4,1,7,2,11,23,7.02,0.0,0.0,0.09,0.13,7.0,7.3,7.4,0.78,6.5,12.5,0,0.02,0.01,0,0.08,0.02,0.11,0.03,0,0.0,6.58,358.0,2.0
57,Malick Thiaw,Newcastle,DEF,270,90.0,5.0,1,0,0,15,21,7.0,0.0,0.0,0.07,0.06,8.0,8.2,8.2,0.63,6.7,8.3,0,0.0,0.0,0,0.06,0.02,0.06,0.02,0,0.0,6.53,445.0,2.0
58,Levi Colwill,Chelsea,DEF,252,84.0,4.9,0,3,2,12,19,6.81,0.0,0.0,0.05,0.07,2.0,2.2,2.2,0.76,5.2,5.7,0,0.01,0.0,0,0.04,0.01,0.06,0.02,0,0.0,6.37,149.0,2.0
59,Milan van Ewijk,Coventry City,DEF,360,90.0,4.0,0,6,5,13,27,6.75,0.0,0.0,0.3,0.22,6.0,6.9,6.7,0.82,10.0,1.8,0,0.0,0.0,0,0.3,0.08,0.22,0.06,0,0.0,6.5,175.0,2.0
60,Neco Williams,Nott'm Forest,DEF,360,90.0,5.0,1,13,0,11,27,6.75,1.0,0.25,0.72,0.92,17.0,17.1,17.7,1.59,20.1,14.2,0,0.32,0.08,0,0.41,0.1,0.6,0.15,0,0.0,7.2,469.0,2.0
61,Lucas Herrington,Hull City,DEF,107,0.0,4.0,0,1,1,5,8,6.73,0.0,0.0,0.01,0.01,4.0,4.0,4.0,0.0,4.0,6.7,0,0.0,0.0,0,0.02,0.02,0.01,0.01,0,0.0,6.68,585.0,2.0
62,Harry Maguire,Man Utd,DEF,360,90.0,4.9,0,2,5,17,26,6.5,1.0,0.25,0.58,0.67,8.0,7.2,7.5,1.19,12.3,6.0,0,0.16,0.04,0,0.43,0.11,0.52,0.13,0,0.0,6.73,418.0,2.0
63,Ola Aina,Nott'm Forest,DEF,309,76.0,4.5,0,10,3,9,22,6.47,0.0,0.0,0.57,0.39,8.0,9.8,9.3,1.24,10.3,13.1,0,0.04,0.01,0,0.57,0.17,0.35,0.1,0,0.0,6.85,473.0,2.0
64,Ian Maatsen,Aston Villa,DEF,330,84.0,4.5,0,7,7,10,24,6.45,0.0,0.0,0.73,0.46,9.0,12.0,11.2,1.04,11.4,6.0,0,0.28,0.08,0,0.45,0.12,0.18,0.05,0,0.0,6.23,36.0,2.0
65,Antonee Robinson,Fulham,DEF,341,85.0,4.5,1,10,2,11,24,6.37,0.0,0.0,0.47,0.55,10.0,12.2,12.4,0.66,11.0,12.1,0,0.27,0.07,0,0.22,0.06,0.29,0.08,0,0.0,6.43,254.0,2.0
66,Joško Gvardiol,Man City,DEF,345,86.0,5.6,2,11,5,7,24,6.28,3.0,0.78,0.33,0.35,33.0,22.6,22.7,1.66,21.3,22.2,1,0.22,0.06,1,0.12,0.03,0.13,0.03,0,0.0,7.35,391.0,2.0
67,Jorrel Hato,Chelsea,DEF,260,64.0,4.5,0,7,2,6,18,6.28,2.0,0.69,0.22,0.85,8.0,2.7,4.6,0.64,7.2,-1.4,0,0.01,0.0,2,0.22,0.08,0.84,0.29,0,0.0,6.63,148.0,2.0
68,Marc Guéhi,Man City,DEF,360,90.0,6.0,2,3,3,18,25,6.25,1.0,0.25,1.27,1.39,26.0,26.5,26.8,1.66,25.4,22.2,1,0.89,0.22,0,0.38,0.1,0.5,0.12,0,0.0,7.6,388.0,2.0
69,Semi Ajayi,Hull City,DEF,334,83.0,4.2,2,4,4,15,23,6.22,1.0,0.27,0.65,0.65,26.0,23.9,23.9,0.98,15.8,16.7,1,0.65,0.18,0,0.01,0.0,0.0,0.0,0,0.0,6.9,279.0,2.0
70,Daniel Muñoz,Nott'm Forest,DEF,176,72.0,5.4,0,6,1,5,12,6.17,0.0,0.0,0.67,1.06,3.0,6.5,7.6,0.44,9.4,12.3,0,0.45,0.23,0,0.19,0.1,0.58,0.3,0,0.0,6.87,201.0,2.0
71,Jeremie Frimpong,Liverpool,DEF,179,80.0,5.4,0,4,1,7,12,6.07,0.0,0.0,0.24,0.65,2.0,2.8,4.0,0.31,5.2,12.1,0,0.01,0.01,0,0.24,0.12,0.64,0.32,0,0.0,6.37,357.0,2.0
72,Kevin Danso,Sunderland,DEF,180,90.0,5.0,0,1,0,9,12,6.0,0.0,0.0,0.16,0.14,3.0,3.5,3.4,0.45,5.2,7.5,0,0.0,0.0,0,0.16,0.08,0.14,0.07,0,0.0,7.0,501.0,2.0
73,Aurèle Amenda,Coventry City,DEF,360,90.0,4.0,0,1,3,16,24,6.0,0.0,0.0,0.41,0.18,4.0,5.3,4.6,0.82,7.9,-0.8,0,0.02,0.0,0,0.39,0.1,0.16,0.04,0,0.0,6.7,182.0,2.0
74,Amar Dedić,Newcastle,DEF,270,90.0,4.5,1,5,1,10,18,6.0,1.0,0.33,0.22,0.25,13.0,11.1,11.2,0.63,9.7,10.0,0,0.14,0.05,1,0.08,0.03,0.11,0.04,0,0.0,6.73,593.0,2.0
75,Tyrone Mings,Aston Villa,DEF,171,90.0,4.5,1,3,1,5,11,5.79,0.0,0.0,0.22,0.21,7.0,8.3,8.2,0.67,6.9,17.4,0,0.2,0.11,0,0.02,0.01,0.01,0.01,0,0.0,7.17,33.0,2.0
76,Lewis Dunk,Brighton,DEF,360,90.0,4.5,2,3,1,16,23,5.75,1.0,0.25,0.12,0.05,22.0,16.4,16.2,1.15,12.8,16.8,1,0.03,0.01,0,0.08,0.02,0.02,0.0,0,0.0,7.7,116.0,2.0
77,Abdukodir Khusanov,Man City,DEF,269,89.0,5.5,1,8,4,4,17,5.71,0.0,0.0,0.06,0.02,9.0,9.2,9.1,1.29,10.3,17.7,0,0.0,0.0,0,0.06,0.02,0.02,0.01,0,0.0,7.03,393.0,2.0
78,Olivier Boscagli,Brighton,DEF,347,87.0,4.5,1,2,4,15,22,5.71,0.0,0.0,0.57,1.12,13.0,14.9,16.5,1.15,13.1,17.9,0,0.06,0.02,0,0.5,0.13,1.06,0.27,0,0.0,7.23,114.0,2.0
79,Timothy Castagne,Fulham,DEF,320,80.0,4.5,0,6,4,8,20,5.66,2.0,0.56,1.05,0.96,19.0,18.2,17.9,0.66,12.5,12.1,0,0.68,0.19,1,0.38,0.11,0.29,0.08,0,0.0,6.6,258.0,2.0
80,Michael Kayode,Brentford,DEF,228,69.0,4.6,0,1,5,6,14,5.58,1.0,0.39,0.91,0.75,17.0,15.4,14.9,0.8,14.1,15.8,1,0.56,0.22,0,0.36,0.14,0.2,0.08,0,0.0,7.05,88.0,2.0
81,Noussair Mazraoui,Man Utd,DEF,98,79.0,4.4,0,2,0,3,6,5.57,0.0,0.0,0.28,0.33,3.0,4.5,4.6,0.36,6.0,5.5,0,0.22,0.2,0,0.07,0.06,0.11,0.1,0,0.0,6.3,422.0,2.0
82,Trai Hume,Sunderland,DEF,196,84.0,4.4,1,9,1,1,12,5.54,0.0,0.0,0.32,0.9,9.0,10.1,11.8,0.55,10.0,21.1,0,0.04,0.02,0,0.28,0.13,0.86,0.39,0,0.0,6.87,534.0,2.0
83,Andy Robertson,Spurs,DEF,277,82.0,4.4,1,3,3,8,17,5.54,0.0,0.0,0.3,0.95,13.0,14.3,16.2,0.84,15.6,17.2,0,0.13,0.04,0,0.17,0.06,0.82,0.27,0,0.0,6.8,502.0,2.0
84,Rúben Dias,Man City,DEF,360,90.0,5.5,2,1,3,17,22,5.5,0.0,0.0,0.83,0.45,16.0,18.8,17.6,1.66,16.2,19.8,0,0.09,0.02,0,0.74,0.19,0.36,0.09,0,0.0,7.45,390.0,2.0
